Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Bulevard Sud,12-2021,12,2021,3.56,,749.02,488.11,3312.5,722.57,,,,,,,,,5.59,7773.04,23.66,38.32,333.66,36.56,,0.0,11.12,39.4504492319186,,-0.39630566751679575
Bulevard Sud,1-2022,1,2022,4.52,,595.25,540.01,3327.31,716.96,,,,,,,,,,,,,,,,,12.6,39.4504492319186,,-0.39630566751679575
Bulevard Sud,2-2022,2,2022,2.97,,406.26,466.25,2288.51,740.23,,,,,,,,,,,,,,,,,9.41,39.4504492319186,,-0.39630566751679575
Bulevard Sud,3-2022,3,2022,1.44,,320.19,272.66,1676.07,795.01,,,,,,,,,,,,,,,,,11.05,39.4504492319186,,-0.39630566751679575
Bulevard Sud,4-2022,4,2022,1.6,,337.52,255.46,1565.69,843.83,,,,,,,,,,,,,,,,,3.29,39.4504492319186,,-0.39630566751679575
Bulevard Sud,5-2022,5,2022,4.67,,84.27,142.85,549.51,899.13,,,,,,,,,,,,,,,,,5.62,39.4504492319186,,-0.39630566751679575
Bulevard Sud,6-2022,6,2022,1.47,,52.52,152.18,447.82,776.87,,,,,,,,,,,,,,,,,4.73,39.4504492319186,,-0.39630566751679575
Bulevard Sud,7-2022,7,2022,0.88,,123.24,199.96,802.52,798.19,,,,,,,,,,,,,,,,,3.74,39.4504492319186,,-0.39630566751679575
Bulevard Sud,8-2022,8,2022,1.15,,111.12,153.04,672.86,622.61,,,,,,,,,,,,,,,,,3.82,39.4504492319186,,-0.39630566751679575
Bulevard Sud,9-2022,9,2022,1.09,,139.25,186.75,828.09,505.53,,,,,,,,,,,,,,,,,3.41,39.4504492319186,,-0.39630566751679575
Bulevard Sud,10-2022,10,2022,0.56,,189.35,176.87,935.3,593.59,,,,,,,,,,,,,,,,,4.85,39.4504492319186,,-0.39630566751679575
Bulevard Sud,11-2022,11,2022,1.18,,198.74,227.61,1129.16,453.22,,,,,,,,,,,,,,,,,2.5,39.4504492319186,,-0.39630566751679575
Bulevard Sud,12-2022,12,2022,1.52,,330.83,204.58,1495.54,548.69,,,,,,,,,,,,,,,,,3.42,39.4504492319186,,-0.39630566751679575
Bulevard Sud,1-2023,1,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,2-2023,2,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,3-2023,3,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,4-2023,4,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,5-2023,5,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,6-2023,6,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,7-2023,7,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
Bulevard Sud,8-2023,8,2023,,,,,,,,,,,,,,,,,,,,,,,,39.4504492319186,,-0.39630566751679575
